accessory_type,part_number,name,description,unit_price
Contract,7640018268,LEASE RETURN 1ST UNIT,,$400.00
Contract,7640018269,LEASE RETURN ADD'L UNITS,,$300.00
Contract,7640020486,KMPF LEASE RETURN 1ST UNIT,,$400.00
Contract,7640020488,KMPF LEASE RETURN ADDL UNITS,,$300.00
Controller,ACAXWY1,IC-317 EFI Fiery Server Controller,,"$12,289.00"
Controller,ACC0WY1,IC-419 EFI EMBEDDED IMAGE CONTROLLER,,"$5,201.00"
Controller,ACME0Y1,IC-609 KM Image Controller for C4080/C4070,,"$3,073.00"
Controller,ACMJWY1,UK-220 APPE Expansion Kit,,$403.00
Controller,ACMCWY1,EK-612 USB Print Kit for KM Controller,,$899.00
Controller,ACMKWY1,VI-515 VIDEO INTERFACE FOR CONTROLLER,,$355.00
Document Handling,AAMPWY1,DF-713 Auto Duplex Document Feeder,,"$1,171.80"
Document Handling,ACMHWY1,UK-112 HDD,,"$1,520.00"
Document Handling,A3PMWY1,OC-511 ORIGINAL COVER,,$49.50
Finishing,A9CEWY2,RU-518M RELAY UNIT,,"$4,842.00"
Finishing,A9CFWY1,HM-103 HUMIDIFICATION UNIT FOR RU-518,,"$5,761.80"
Finishing,A8FRWY1,IQ-501 INTELLIGENT QUALITY OPTIMIZER,,"$9,783.00"
Finishing,ACMAWY1,VI-514 VIDEO INTERFACE FOR IQ-501,,"$1,750.00"
Finishing,A043WY1,OT-511 OUTPUT TRAY,,$308.00
Finishing,AC8WWY1,OT-512 OUTPUT TRAY,,"$2,389.00"
Finishing,A57UWY1,WT-511 WORKING TABLE,,$144.00
Finishing,A5VKWY1,HT-511 UPPER TRAY OPTION HEATER,,$167.00
Finishing,A04HWY2,PI-502 POST INSERTER FOR FS-532,,$596.70
Finishing,A4F3WY6,FS-532m Staple Finisher,,"$3,398.00"
Finishing,AC8UW11,PK-525 PUNCH KIT,,$456.00
Finishing,A4F5WY1,MK-732 MOUNT KIT FOR PI-506,,$222.00
Finishing,A4F4WY1,SD-510 SADDLE STITCH UNIT,,"$1,378.00"
Finishing,AC3TWY1,TU-510 TRIMMER UNIT,,"$17,734.00"
Finishing,ACJ6WY1,TU-504 SLITTER FOR TU-510,,"$3,061.00"
Finishing,ACJ5WY1,CR-102 CREASER FOR TU-510,,"$2,078.00"
Finishing,ACWKWY1,CR-103 Concave Creasing Unit for TU-510,,"$1,724.00"
Finishing,ACWNWY1,PE-101 Cross Direction Perf for TU-510,,"$3,446.00"
Finishing,ACWPWY1,PE-102 Feed Direction Perf TU-510,,"$2,412.00"
Finishing,ACWMWY1,MK-765 Dust Box for TU-510,,"$2,078.00"
Finishing,ACJ7WY1,MK-764 BANNER OUTPUT FOR TU-510,,"$2,584.00"
Finishing,ACJ8WY1,JS-507 BUSINESS CARD TRAY FOR TU-510,,$690.00
Finishing,A0H0W12,FD-503 MULTI FOLDING UNIT,,"$8,368.00"
Finishing,A0H2WY3,SD-506 SADDLE STITCH UNIT,,"$13,493.00"
Finishing,A65UWY2,SD-513 SADDLE STITCH UNIT - MAIN BODY,,"$8,741.00"
Finishing,A729WY1,SD-513/F SADDLE STITCH UNIT - FRONT,,"$7,759.00"
Finishing,A65XWY1,CR-101 CREASER UNIT FOR SD-513,,"$5,550.00"
Finishing,A65VWY1,FD-504 SQUARE FOLD MODULE FOR SD-513,,"$5,967.00"
Finishing,A65WWY1,TU-503 TRIMMER UNIT FOR SD-513,,"$9,112.00"
Finishing,AAPKWY1,LS-507 LARGE STACKER,,"$11,137.00"
Finishing,ACHKWY1,LC-502 STACKER CART,,$631.00
Finishing,A15XW13,PB-503 PERFECT BINDER,,"$23,651.10"
Finishing,A4FCWY2,RU-510 RELAY UNIT,,"$1,417.00"
Finishing,10207010,PLOCKMATIC SD-350 BOOKLETMAKER,,"$10,672.20"
Finishing,10200011,PLOCKMATIC 50 SHEET UPGRADE KIT,,"$8,399.70"
Finishing,10307000,PLOCKMATIC FACE TRIMMER,,"$7,016.40"
Finishing,10507000,PLOCKMATIC BOOKFOLD,,"$6,720.30"
Finishing,10407000,PLOCKMATIC COVER FEEDER,,"$2,520.00"
Finishing,12207000,PLOCKMATIC RCT (INCL INTERFACE MODULE),,"$21,244.50"
Finishing,4704000,PLOCKMATIC HIGH CAPACITY BELT STACKER,,"$3,162.60"
Finishing,12200018,PLOCKMATIC TRIM WASTE CONVEYER FOR RCT,,"$2,767.50"
Finishing,7640020192,PLOCKMATIC INSTALL & TRAINING - KM,,$900.00
Finishing,A6H9WY2,MK-737 MOUNT KIT FOR 3RD PARTY OPTIONS,,"$1,235.70"
Finishing,7718800,GBC PUNCH G2,,"$9,338.40"
Finishing,7714901,DIE  COIL  RND 44/47H,,$684.00
Finishing,7714902,DIE  WIRE 2:1  RND 21/23H,,$684.00
