km_model,product_id,name,unit_price,description
c3070l,7670525509,MFP DELIVERY CHARGE - LEVEL FOUR,$0,
c3070l,7640018096,BASIC NETWORK SERVICE - BNS06,$0,
c3070l,7640012602,BASIC PROFESSIONAL SERVICES - LEVEL 4,"$2,200",
c3070l,7640020218,EXPERT COLOR PRODUCTION TRAINING,"$5,000",
c3070l,7640015255,PROFESSIONAL SERVICES PROJECT FEE,$1,
c3070l,7640018268,LEASE RETURN 1ST UNIT,$400,
c3070l,7640018269,LEASE RETURN ADD'L UNITS,$300,
c3070l,7640020486,KMPF LEASE RETURN 1ST UNIT,$400,
c3070l,7640020488,KMPF LEASE RETURN ADDL UNITS,$300,
c3070l,A782WY2,DF-706 DUAL SCAN DOCUMENT FEEDER,"$1,132",
c3070l,A3PMWY1,OC-511 ORIGINAL COVER,$50,
c3070l,A03WWY2,LU-202M LARGE CAPACITY TRAY,"$1,538",
c3070l,A8K4WY2,LU-202XLM XL PAPER FEED (29.5 IN MAX),"$2,965",
c3070l,A8ACWY1,MK-746 ENVELOPE GUIDE KIT,$350,
c3070l,A0410Y0,HT-503 DEHUMID HEATER FOR LU-202,$596,
c3070l,A57WWY2,MB-506 MULTI BYPASS TRAY,$276,
c3070l,A57VW11,*EF-103 ENVELOPE FUSER,"$2,092",
c3070l,A7XVWY2,MK-740 MEDIA FEEDING KIT FOR BANNERS,$487,
c3070l,A7XVWY3,MK-740M MEDIA FEEDING KIT FOR BANNERS,"$1,460",
c3070l,A93JWY2,OT-510 OPEN STACKER,"$1,750",
c3070l,A043WY1,OT-511 OUTPUT TRAY,$308,
c3070l,A57UWY1,WT-511 WORKING TABLE,$144,
c3070l,A5VKWY1,HT-511 UPPER TRAY OPTION HEATER,$167,
c3070l,A1TVWY2,FS-612 BOOKLET FINISHER,"$2,409",
c3070l,A2A4WY2,FS-531 STAPLING FINISHER,"$1,602",
c3070l,A04HWY2,PI-502 POST INSERTER FOR FS-532,$597,
c3070l,A04F0Y1,PK-512 SELECTABLE 2/3-HOLE PUNCH KIT,$423,
c3070l,AAN00Y1,IC-605A KM IMAGE CONTROLLER,"$2,396",
c3070l,A9F7WY3,IC-417 EFI EMBEDDED IMAGE CONTROLLER,"$4,991",
c3070l,A9G1WY2,VI-509 VIDEO INTERFACE KIT,$381,
c3070l,45111156,FIERY PRODUCTIVITY PACKAGE,"$3,591",
c3070l,45206712,FIERY IMPOSE WITHOUT ACRBT-PTSTP,"$1,601",
c3070l,45111136,FIERY COMPOSE S/W LICENSE,$747,
c3070l,45206719,FIERY IMPOSE-COMPOSE WITHOUT ACRBT-PTSTP,"$2,068",
c3070l,45206722,FIERY JOBMASTER WITHOUT ACRBT-PTSTP,"$2,941",
c3070l,45206725,FIERY JOBMASTER-IMPOSE W-OUT ACRBT-PTSTP,"$4,200",
c3070l,45111142,EFI HOT FOLDERS & VIRTUAL S/W LICENSE,$633,
c3070l,45111094,EFI AUTO TRAP S/W LICENSE,$633,
c3070l,100000006366,FIERY JOBMASTER ANNUAL MAINTENANCE,$593,
c3070l,100000006367,FIERY JOBMASTER-IMPOSE ANNUAL MAINT,$797,
c3070l,45206625,ADOBE ACROBAT 2017 AND PITSTOP EDIT 2019,$294,
c3070l,45112781,FIERY JOBFLOW W / MAINT,"$3,928",
c3070l,100000006365,FIERY JOBFLOW ANNUAL MAINTENANCE,"$1,195",
c3070l,KONI66002,LR5402C CUST TOWER LIGHT ASSEMBLY,$278,
c3070l,R5427011136466GEN2,AU-205HGEN2  SQ-2020-94643,$178,
c3070l,XGPCS20820DKM,ESP DIAGNOSTIC POWER FILTER 208V/20A,$233,
c3070l,EVS20820,ESP ENVISIONSENSE PMS 208V/20A,$423,
c3070l,XGPCS15DKM,ESP DIAGNOSTIC POWER FILTER 120V/15A,$180,
c3070l,2CL133,SMART-UPS 1500VA LCD 120V WITH SMARTCONN,$614,
c3070l,7640018460,NETWORKING FEE,$1,
c3070l,9967005050,PROKOM MEMBERSHIP,$0,
c3070l,7640021190,ACCURIOPRO SECURE,$499,
c4070,"$7,670,525,509.00",MFP DELIVERY CHARGE - LEVEL FOUR,$0.00,
c4070,7640018097,BASIC NETWORK SERVICE - BNS07,$0.00,
c4070,7640012602,BASIC PROFESSIONAL SERVICES - LEVEL 4,"$2,200.00",
c4070,7640020218,EXPERT COLOR PRODUCTION TRAINING,"$5,000.00",
c4070,7640015255,PROFESSIONAL SERVICES PROJECT FEE,$1.00,
c4070,7640018268,LEASE RETURN 1ST UNIT,$400.00,
c4070,7640018269,LEASE RETURN ADD'L UNITS,$300.00,
c4070,7640020486,KMPF LEASE RETURN 1ST UNIT,$400.00,
c4070,7640020488,KMPF LEASE RETURN ADDL UNITS,$300.00,
c4070,AAMPWY1,DF-713 Auto Duplex Document Feeder,"$1,171.80",
c4070,ACMHWY1,UK-112 HDD,"$1,520.00",
c4070,A3PMWY1,OC-511 ORIGINAL COVER,$49.50,
